time start,time end,duration (s),source address,destination address,source port,destination port ,protocol,flags,packets,bytes
2020-04-28 14:43:05,2020-04-28 14:43:05,0.030,66.249.76.35,193.136.126.43,41739,443,TCP,.A...F,2,104
2020-04-28 14:43:05,2020-04-28 14:43:05,0.030,193.136.126.43,66.249.76.35,443,41739,TCP,.AP..F,3,187
2020-04-28 14:43:06,2020-04-28 14:43:07,1.617,54.175.144.198,193.136.126.43,29480,443,TCP,.AP.SF,16,1590
2020-04-28 14:43:06,2020-04-28 14:43:07,1.617,193.136.126.43,54.175.144.198,443,29480,TCP,.AP.SF,12,17905
2020-04-28 14:43:07,2020-04-28 14:43:07,0.002,10.130.16.46,193.136.126.43,80,58847,TCP,.AP.SF,5,665
2020-04-28 14:43:07,2020-04-28 14:43:07,0.002,193.136.126.43,10.130.16.46,58847,80,TCP,.AP.SF,5,759
2020-04-28 14:43:09,2020-04-28 14:43:10,1.535,193.136.126.43,207.46.13.120,443,1924,TCP,.AP.SF,9,7050
2020-04-28 14:43:09,2020-04-28 14:43:10,1.535,207.46.13.120,193.136.126.43,1924,443,TCP,219,9,1015
2020-04-28 14:43:09,2020-04-28 14:43:12,2.706,10.130.16.46,193.136.126.43,80,58849,TCP,.AP.SF,14,10181
2020-04-28 14:43:09,2020-04-28 14:43:12,2.706,193.136.126.43,10.130.16.46,58849,80,TCP,.AP.SF,14,1521
2020-04-28 14:43:09,2020-04-28 14:43:13,3.843,10.130.16.46,193.136.126.43,80,58852,TCP,.AP.SF,20,18591
2020-04-28 14:43:09,2020-04-28 14:43:13,3.843,193.136.126.43,10.130.16.46,58852,80,TCP,.AP.SF,20,1919
2020-04-28 14:43:12,2020-04-28 14:43:14,1.576,54.175.144.198,193.136.126.43,29982,443,TCP,.AP.SF,16,1583
2020-04-28 14:43:12,2020-04-28 14:43:14,1.576,193.136.126.43,54.175.144.198,443,29982,TCP,.AP.SF,12,14298
2020-04-28 14:43:13,2020-04-28 14:43:17,4.614,10.130.16.46,193.136.126.43,80,58857,TCP,.AP.SF,20,19562
2020-04-28 14:43:13,2020-04-28 14:43:17,4.614,193.136.126.43,10.130.16.46,58857,80,TCP,.AP.SF,21,1664
2020-04-28 14:43:14,2020-04-28 14:43:15,1.976,114.119.163.49,193.136.126.43,20482,443,TCP,.AP.SF,16,1477
2020-04-28 14:43:14,2020-04-28 14:43:15,1.976,193.136.126.43,114.119.163.49,443,20482,TCP,.AP.SF,12,16079
2020-04-28 14:43:14,2020-04-28 14:43:31,16.513,10.130.16.46,193.136.126.43,80,58860,TCP,.AP.SF,89,104858
2020-04-28 14:43:14,2020-04-28 14:43:31,16.513,193.136.126.43,10.130.16.46,58860,80,TCP,.AP.SF,80,8215
2020-04-28 14:43:15,2020-04-28 14:43:17,2.187,10.130.16.46,193.136.126.43,80,58862,TCP,.AP.SF,60,83188
2020-04-28 14:43:15,2020-04-28 14:43:17,2.187,193.136.126.43,10.130.16.46,58862,80,TCP,.AP.SF,40,2440
